Date_complete,ult_mean_speed,ult_mean_dir,ult_SD_speed,ult_SD_dir,ult_updrift
2013-01-08 01:20:00,1.910509,346.32974,0.806093,25.663006,NULL
2013-01-08 01:30:00,4.153859,337.01312,1.14281,14.35591,NULL
2013-01-08 01:40:00,4.754488,335.75366,1.454538,19.109922,NULL
2013-01-08 01:50:00,4.278898,334.9804,1.194874,18.681186,NULL
2013-01-08 02:00:00,3.655273,336.771,1.326452,25.35,NULL
2013-01-08 02:10:00,3.970243,337.25956,1.032043,13.406192,NULL
2013-01-08 02:20:00,4.660702,337.70978,1.217591,10.63014,NULL
2013-01-08 02:30:00,4.172416,336.23876,1.164975,18.451872,NULL
2013-01-08 02:40:00,4.254133,334.99494,1.197887,16.325788,NULL
2013-01-08 02:50:00,4.266704,336.61396,1.157965,18.219396,NULL
2013-01-08 03:00:00,5.162272,334.76972,1.014192,9.727298,NULL
2013-01-08 03:10:00,4.278276,338.07336,1.0629,11.22009,NULL
2013-01-08 03:20:00,3.558523,336.53866,1.189077,16.88791,NULL
2013-01-08 03:30:00,2.76771,337.64496,0.947773,23.084848,NULL
2013-01-08 03:40:00,3.963755,339.24314,1.29157,16.875918,NULL
2013-01-08 03:50:00,4.086094,339.6521,1.330427,22.294658,NULL
2013-01-08 04:00:00,3.105218,341.80958,0.967125,19.98197,NULL
2013-01-08 04:10:00,4.052547,340.73322,1.102994,12.795802,NULL
2013-01-08 04:20:00,3.520644,341.37878,0.853993,12.378652,NULL
2013-01-08 04:30:00,3.654427,342.64968,0.842689,12.768486,NULL
2013-01-08 04:40:00,3.159874,341.7074,1.066232,15.909604,NULL
2013-01-08 04:50:00,2.674501,340.97506,1.034622,15.467152,NULL
2013-01-08 05:00:00,2.13983,336.2196,1.080613,25.745414,NULL
2013-01-08 05:10:00,3.166715,340.51774,0.841211,15.948208,NULL
2013-01-08 05:20:00,3.343025,337.08194,0.94989,17.915998,NULL
2013-01-08 05:30:00,3.27861,340.64578,0.956634,16.361444,NULL
2013-01-08 05:40:00,3.85152,338.20118,0.630659,8.2415,NULL
2013-01-08 05:50:00,3.14705,337.36976,1.036023,17.997976,NULL
2013-01-08 06:00:00,3.366176,335.09382,0.907436,18.351888,NULL
2013-01-08 06:10:00,3.239124,339.89362,0.800665,15.35488,NULL
2013-01-08 06:20:00,3.539574,337.38666,0.865396,12.599978,NULL
2013-01-08 06:30:00,3.692037,337.63202,0.820546,12.175624,NULL
2013-01-08 06:40:00,2.747501,337.33634,0.936043,18.921134,NULL
2013-01-08 06:50:00,3.578112,338.78466,1.189095,19.125036,NULL
2013-01-08 07:00:00,4.226711,336.918,1.213493,14.891916,NULL
2013-01-08 07:10:00,3.20338,333.92092,1.081683,20.772796,NULL
2013-01-08 07:20:00,2.769304,334.07938,1.246305,30.810478,NULL
