YYYY-MM-DD HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (W/m^2),ETRN (W/m^2),Glo Mod (W/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (W/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod  (W/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (W/m^2),Meas Glo Flg,Meas Dir (W/m^2),Meas Dir Flg,Meas Dif (W/m^2),Meas Dif Flg,TotCC (10ths),Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
2005-01-01 01:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,3,1.1,51,0.052,1
2005-01-01 02:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,1.0,3,0.052,1
2005-01-01 03:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,1.0,3,0.052,1
2005-01-01 04:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,1.0,3,0.052,1
2005-01-01 05:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,1.0,3,0.052,1
2005-01-01 06:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,3,0.052,1
2005-01-01 07:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,3,0.052,1
2005-01-01 08:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.0,3,0.052,1
2005-01-01 09:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,6,1.1,3,0.052,1
2005-01-01 10:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,2,1.0,3,0.052,1
2005-01-01 11:00,88.4,147.1,35,1238,15,25,1,22,28,1,15,25,1,-9900,99,-9900,99,-9900,99,10,1.0,3,0.044,1
2005-01-01 12:00,85.5,159.6,111,1415,33,25,1,34,28,1,30,25,1,-9900,99,-9900,99,-9900,99,10,1.0,3,0.044,1
2005-01-01 13:00,83.8,173.4,152,1415,42,25,1,47,28,1,37,25,1,-9900,99,-9900,99,-9900,99,10,1.1,3,0.044,1
2005-01-01 14:00,83.9,187.3,151,1415,30,25,1,0,28,1,30,25,1,-9900,99,-9900,99,-9900,99,10,1.1,3,0.044,1
2005-01-01 15:00,85.6,201.0,108,1415,20,25,1,0,28,1,20,25,1,-9900,99,-9900,99,-9900,99,10,1.1,3,0.044,1
2005-01-01 16:00,88.4,213.2,32,1167,4,25,1,0,28,1,4,25,1,-9900,99,-9900,99,-9900,99,10,1.1,3,0.044,1
2005-01-01 17:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,3,0.044,1
2005-01-01 18:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,3,0.044,1
2005-01-01 19:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,3,0.044,1
2005-01-01 20:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,3,0.044,1
2005-01-01 21:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,3,0.044,1
2005-01-01 22:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,3,0.044,1
2005-01-01 23:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.2,3,0.044,1
2005-01-01 24:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.2,3,0.044,1
2005-01-02 01:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,3,0.044,1
2005-01-02 02:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,3,0.044,1
2005-01-02 03:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.4,3,0.044,1
2005-01-02 04:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,3,0.044,1
2005-01-02 05:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,3,0.044,1
2005-01-02 06:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.3,3,0.044,1
2005-01-02 07:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.2,3,0.044,1
2005-01-02 08:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.2,3,0.044,1
2005-01-02 09:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,3,0.044,1
2005-01-02 10:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,1.1,3,0.044,1
2005-01-02 11:00,88.4,146.8,36,1262,4,25,1,0,28,1,4,25,1,-9900,99,-9900,99,-9900,99,10,1.0,3,0.061,1
2005-01-02 12:00,85.4,159.5,113,1415,16,25,1,0,28,1,16,25,1,-9900,99,-9900,99,-9900,99,10,1.0,3,0.061,1
2005-01-02 13:00,83.8,173.3,154,1415,23,25,1,0,28,1,23,25,1,-9900,99,-9900,99,-9900,99,10,0.9,3,0.061,1
2005-01-02 14:00,83.8,187.2,153,1415,19,25,1,0,28,1,19,25,1,-9900,99,-9900,99,-9900,99,10,0.9,3,0.061,1
2005-01-02 15:00,85.5,200.9,111,1415,13,25,1,0,28,1,13,25,1,-9900,99,-9900,99,-9900,99,10,0.9,3,0.061,1
2005-01-02 16:00,88.4,213.4,34,1214,4,25,1,0,28,1,4,25,1,-9900,99,-9900,99,-9900,99,10,0.9,3,0.061,1
