Date,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2010-12-01 00:50:00,303,1.2,2.1,1.75,6.25,5.29,999,9999,5.7,5.9,-6.8,99,99
2010-12-01 01:50:00,263,9.5,11.3,1.83,5.56,5.38,999,9999,4,5.9,-6.2,99,99
2010-12-01 02:50:00,278,6.2,8.9,1.67,6.25,5.22,999,9999,5.2,5.9,-4.9,99,99
2010-12-01 03:50:00,277,8.4,10.5,1.69,5.88,5,999,9999,4.3,5.9,-4.9,99,99
2010-12-01 04:50:00,269,9,11.4,1.63,5.88,4.99,999,9999,4.6,6,-4,99,99
2010-12-01 05:50:00,257,7.7,8.9,1.64,6.25,5.02,999,9999,4.8,6,-3.7,99,99
2010-12-01 06:50:00,271,10.2,11.6,1.7,5.88,5.01,999,9999,4.4,6,-2.8,99,99
2010-12-01 07:50:00,275,8.6,10.9,1.64,5.88,4.94,999,9999,4.2,5.9,-2.1,99,99
2010-12-01 08:50:00,274,8.1,10.6,99,99,99,999,9999,4.7,5.9,-2.3,99,99
2010-12-01 09:50:00,314,3.5,4.7,99,99,99,999,9999,4.7,6,-3.2,99,99
2010-12-01 10:50:00,271,5.5,8.6,1.56,5.88,4.92,999,9999,4.6,6.1,-1.8,99,99
2010-12-01 11:50:00,310,3.7,6.9,1.34,5.88,4.79,999,9999,4.7,6.1,-2.4,99,99
2010-12-01 12:50:00,262,2.1,4,1.13,5.56,4.6,999,9999,4.6,6.1,-2.2,99,99
2010-12-01 13:50:00,261,5.4,6.6,1.05,4.76,4.36,999,9999,4.2,6.1,-1,99,99
2010-12-01 14:50:00,255,5,6.1,1,5.26,4.23,999,9999,3.8,6,-1.4,99,99
2010-12-01 15:50:00,221,6.6,7.7,1.03,4.35,4.13,999,9999,3.8,6,-1.2,99,99
2010-12-01 16:50:00,237,5.7,7,0.99,4.35,4.12,999,9999,3.8,6,-1.5,99,99
2010-12-01 17:50:00,186,2.2,3,0.96,5,4.09,999,9999,3.5,6,-1.1,99,99
2010-12-01 18:50:00,190,5.5,6.6,99,99,99,999,9999,3.4,6,-1.2,99,99
2010-12-01 19:50:00,175,6,7.2,0.86,5,3.82,999,9999,3.2,5.9,-0.6,99,99
2010-12-01 20:50:00,188,7,8.1,0.79,5.56,3.69,999,9999,3.3,5.9,-0.7,99,99
2010-12-01 21:50:00,192,6.3,7.7,99,99,99,999,9999,3.3,6,-0.8,99,99
2010-12-01 22:50:00,207,6.1,7.4,0.72,5.26,3.85,999,9999,3.4,6.1,-0.7,99,99
2010-12-01 23:50:00,222,5.2,6.9,99,99,99,999,9999,3.6,6.1,-1.4,99,99
2010-12-02 00:50:00,235,6.6,7.9,0.65,4,3.92,999,9999,3.5,6,-0.9,99,99
2010-12-02 01:50:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-12-02 02:50:00,237,4.4,5.5,99,99,99,999,9999,3.8,5.9,1,99,99
2010-12-02 03:50:00,170,4.8,5.8,99,99,99,999,9999,3.1,6,1.2,99,99
2010-12-02 04:50:00,154,4,5,0.62,3.85,3.76,999,9999,3.3,6,1.7,99,99
2010-12-02 05:50:00,28,5.7,6.8,0.53,3.7,3.79,999,9999,2.1,6,1,99,99
2010-12-02 06:50:00,51,3.8,4.8,99,99,99,999,9999,2.1,6,0.7,99,99
2010-12-02 07:50:00,26,10.8,12.2,99,99,99,999,9999,1.3,6,0.5,99,99
2010-12-02 08:50:00,41,8.9,10.6,1.06,4,3.37,999,9999,1.2,6,1,99,99
2010-12-02 09:50:00,49,7.2,8.1,99,99,99,999,9999,0.9,6,0,99,99
2010-12-02 10:50:00,58,6.6,8,99,99,99,999,9999,1.1,6,-0.4,99,99
2010-12-02 11:50:00,56,5.2,99,99,99,99,999,9999,1.1,999,-0.1,99,99
2010-12-02 12:50:00,63,3.5,4.2,99,99,99,999,9999,1.2,5.8,-0.1,99,99
2010-12-02 13:50:00,140,2.7,3.5,0.79,5.56,4.07,999,9999,1.3,5.7,0.5,99,99
2010-12-02 14:50:00,146,3.8,4.8,1.05,5.88,4.65,999,9999,1.6,5.5,0.5,99,99
2010-12-02 15:50:00,304,3.7,4.6,1.2,5.56,4.53,999,9999,2.8,5.8,-0.7,99,99
2010-12-02 16:50:00,304,4.5,5.8,1.2,5.26,4.59,999,9999,3.1,5.9,-1.6,99,99
2010-12-02 17:50:00,299,6,7.1,1.21,5.26,4.42,999,9999,3.5,5.9,-3.9,99,99
2010-12-02 18:50:00,304,6.8,8.9,1.17,5,4.2,999,9999,4,5.9,-3.6,99,99
2010-12-02 19:50:00,272,5.2,6.9,1.01,5,3.98,999,9999,3.8,6,-5.2,99,99
2010-12-02 20:50:00,275,9,10.9,0.99,5,4.01,999,9999,3.7,6,-4.2,99,99
2010-12-02 21:50:00,269,8.4,10.1,1.04,5,4.09,999,9999,3.3,6.1,-3.7,99,99
2010-12-02 22:50:00,270,6.5,7.8,1.11,5.88,4.31,999,9999,3.5,6,-5.3,99,99
2010-12-02 23:50:00,281,6.3,7.6,1.23,5.88,4.63,999,9999,3.6,6,-5.3,99,99
2010-12-03 00:50:00,257,6.4,8,1.08,5.88,4.5,999,9999,3.5,6,-5.1,99,99
2010-12-03 01:50:00,212,6.9,7.9,1.02,5.56,4.71,999,9999,3.1,6,-2.2,99,99
2010-12-03 02:50:00,198,4.3,5.9,0.94,5,4.5,999,9999,3,5.9,-2.2,99,99
2010-12-03 03:50:00,165,7.7,9.5,1.04,5,4.26,999,9999,2.2,5.8,-1.8,99,99
2010-12-03 04:50:00,181,5.7,7,0.96,5,4.1,999,9999,2.3,5.8,-1.9,99,99
2010-12-03 05:50:00,196,2.2,3.4,0.79,4.76,3.99,999,9999,2.7,5.9,-2.3,99,99
2010-12-03 06:50:00,205,1.9,2.9,0.71,4.17,4.05,999,9999,2.9,5.6,-3,99,99
2010-12-03 07:50:00,157,3.9,4.7,0.57,3.85,3.81,999,9999,2.5,5.6,-3,99,99
2010-12-03 08:50:00,133,4.3,5.3,0.57,8.33,3.99,999,9999,2.6,5.6,-2.1,99,99
2010-12-03 09:50:00,133,4.5,5.4,0.52,3.13,4,999,9999,3,5.7,-3.5,99,99
2010-12-03 10:50:00,92,5.1,6.9,0.51,9.09,4,999,9999,3.5,5.5,-4.2,99,99
2010-12-03 11:50:00,98,3.9,5,99,99,99,999,9999,3.6,5.2,-3.6,99,99
2010-12-03 12:50:00,145,9.8,11.9,99,99,99,999,9999,3,6.1,0.6,99,99
2010-12-03 13:50:00,121,9.1,11.3,1.58,5,4.27,999,9999,3.1,6.2,1.8,99,99
2010-12-03 14:50:00,128,9.6,11.7,1.6,6.25,4.64,999,9999,3.4,6.3,2.5,99,99
2010-12-03 15:50:00,154,10.8,13.6,99,99,99,999,9999,4.6,6.3,2.3,99,99
2010-12-03 16:50:00,155,10.1,12.4,2.29,8.33,5.32,999,9999,4.5,5.9,2.9,99,99
2010-12-03 17:50:00,159,10.6,12.6,2.44,8.33,5.24,999,9999,4.9,6,3.3,99,99
2010-12-03 18:50:00,161,10.7,12.4,2.45,9.09,5.67,999,9999,5.2,6,4.2,99,99
2010-12-03 19:50:00,231,6.6,7.7,2.34,10,5.74,999,9999,3.4,6.1,3,99,99
2010-12-03 20:50:00,238,7.4,8.8,2.56,10.81,6.3,999,9999,3.7,6.1,2.3,99,99
2010-12-03 21:50:00,234,9.8,12.1,2.02,10,5.95,999,9999,4.2,6.2,0.7,99,99
2010-12-03 22:50:00,251,12.1,14.1,2.23,10.81,6.13,999,9999,4,6.2,0.4,99,99
2010-12-03 23:50:00,247,11,12.7,2.17,10,5.59,999,9999,3.8,6,-0.3,99,99
2010-12-04 00:50:00,250,10.2,12.5,2.24,9.09,5.94,999,9999,3.8,6,-0.1,99,99
2010-12-04 01:50:00,235,9.2,11.1,2.11,10.81,6.18,999,9999,3.8,5.7,0,99,99
2010-12-04 02:50:00,203,7.8,9.8,2,11.43,6.32,999,9999,3.9,5.8,1,99,99
2010-12-04 03:50:00,222,6.9,8.3,99,99,99,999,9999,3.9,5.6,-0.5,99,99
2010-12-04 04:50:00,206,5.7,7.1,1.63,9.09,5.94,999,9999,4.2,5.8,-1,99,99
2010-12-04 05:50:00,182,6.7,8.7,99,99,99,999,9999,4.5,5.9,-0.7,99,99
2010-12-04 06:50:00,190,6.8,8.2,1.84,9.09,5.37,999,9999,2.9,6,-0.3,99,99
2010-12-04 07:50:00,164,7,8.4,1.53,6.67,4.96,999,9999,2.7,5.9,1.5,99,99
2010-12-04 08:50:00,183,8,9.7,1.47,7.14,4.59,999,9999,3.4,5.9,1.6,99,99
2010-12-04 09:50:00,163,8.9,10.5,1.23,3.7,4.02,999,9999,3.9,5.9,1.8,99,99
2010-12-04 10:50:00,190,9.6,11.8,1.53,10,4.46,999,9999,4.8,6,1.5,99,99
2010-12-04 11:50:00,193,9.3,11,1.62,5,4.51,999,9999,4.7,6.1,1.1,99,99
2010-12-04 12:50:00,190,10.3,13.2,99,99,99,999,9999,3.7,6.1,0.9,99,99
2010-12-04 13:50:00,162,7.3,8.4,1.79,6.67,5.32,999,9999,4.5,6,1.2,99,99
2010-12-04 14:50:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-12-04 15:50:00,160,7.6,9.2,99,99,99,999,9999,3.3,6,1.4,99,99
2010-12-04 16:50:00,242,7.2,8.7,1.87,6.67,5.16,999,9999,2.4,5.9,1.3,99,99
2010-12-04 17:50:00,185,7.5,11.6,1.62,6.25,4.89,999,9999,2.7,5.9,1.7,99,99
2010-12-04 18:50:00,190,6.9,9.6,99,99,99,999,9999,2.9,5.9,1.4,99,99
2010-12-04 19:50:00,182,0,0,99,99,99,999,9999,999,999,999,99,99
2010-12-04 20:50:00,166,7.3,8.6,99,99,99,999,9999,1.8,5.9,1.1,99,99
2010-12-04 21:50:00,151,7.2,8.4,99,99,99,999,9999,2.8,6.3,1.2,99,99
2010-12-04 22:50:00,175,5.3,8.4,1.49,10.81,5.86,999,9999,2.2,6.5,1.5,99,99
2010-12-04 23:50:00,182,5.7,7.1,1.57,10.81,5.88,999,9999,2.5,6.5,1.1,99,99
2010-12-05 00:50:00,210,3,3.9,99,99,99,999,9999,2.6,6.3,0.4,99,99
2010-12-05 01:50:00,201,3.5,4.7,1.17,10,6.09,999,9999,2.4,6.1,0.9,99,99
2010-12-05 02:50:00,184,2.6,3.7,99,99,99,999,9999,2.8,6,0.1,99,99
2010-12-05 03:50:00,295,2.2,3.1,1.18,8.33,6.86,999,9999,2.5,6,1,99,99
2010-12-05 04:50:00,14,2.4,99,99,99,99,999,9999,2.7,999,0.2,99,99
2010-12-05 05:50:00,34,5.1,99,99,99,99,999,9999,3.1,6.1,0.6,99,99
2010-12-05 06:50:00,31,5.7,6.6,99,99,99,999,9999,3,6.1,0.8,99,99
2010-12-05 07:50:00,24,6.8,99,99,99,99,999,9999,999,999,999,99,99
2010-12-05 08:50:00,28,8.1,9.6,0.81,10,4.01,999,9999,3.5,6,1.2,99,99
2010-12-05 09:50:00,31,10.3,99,99,99,99,999,9999,3.7,999,1.3,99,99
2010-12-05 10:50:00,56,8.6,9.9,0.89,10.81,3.71,999,9999,4,5.9,0.4,99,99
2010-12-05 11:50:00,56,0,0,99,99,99,999,9999,999,999,999,99,99
2010-12-05 12:50:00,63,9.5,99,99,99,99,999,9999,3.7,999,0.7,99,99
2010-12-05 13:50:00,66,9.3,10.9,99,99,99,999,9999,4,5.9,0.9,99,99
2010-12-05 14:50:00,66,9.8,11.3,99,99,99,999,9999,4,6.1,1,99,99
2010-12-05 15:50:00,77,9.2,10.6,99,99,99,999,9999,4,6.1,0.5,99,99
2010-12-05 16:50:00,65,9.5,99,99,99,99,999,9999,4.1,999,-0.1,99,99
2010-12-05 17:50:00,70,8.5,10.3,99,99,99,999,9999,4.3,6.1,0.7,99,99
2010-12-05 18:50:00,57,10.3,12.9,1.11,4.17,3.51,999,9999,4,6.2,1.2,99,99
2010-12-05 19:50:00,52,9.4,10.8,99,99,99,999,9999,3.8,6.2,1.1,99,99
2010-12-05 20:50:00,58,10.6,12.1,99,99,99,999,9999,999,6.3,999,99,99
2010-12-05 21:50:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-12-05 22:50:00,35,12.5,15,1.57,5,3.87,999,9999,3.7,6.3,2.4,99,99
2010-12-05 23:50:00,28,11.4,99,99,99,99,999,9999,3.4,5.8,1.9,99,99
2010-12-06 00:50:00,34,14.3,99,99,99,99,999,9999,3,999,1.6,99,99
2010-12-06 01:50:00,35,13.7,16.6,99,99,99,999,9999,3.2,5.3,0.5,99,99
2010-12-06 02:50:00,41,14.1,16.4,1.48,4,3.64,999,9999,3.8,5.8,0.1,99,99
2010-12-06 03:50:00,41,13,15.2,99,99,99,999,9999,4,5.6,-0.9,99,99
2010-12-06 04:50:00,35,10.3,13,1.27,3.57,3.49,999,9999,4.1,5.7,-1.4,99,99
2010-12-06 05:50:00,27,8.7,10.1,1.12,6.25,3.72,999,9999,4.2,6.1,-2.6,99,99
2010-12-06 06:50:00,32,8.2,9.5,99,99,99,999,9999,4.4,5.9,-2.3,99,99
2010-12-06 07:50:00,45,9.2,11.1,1.25,5.88,3.85,999,9999,4.4,5.7,-2,99,99
2010-12-06 08:50:00,56,8.9,10.2,99,99,99,999,9999,4,5.6,-2.5,99,99
2010-12-06 09:50:00,53,7.8,9.2,1.29,7.14,4.4,999,9999,4.2,5.6,-2.6,99,99
2010-12-06 10:50:00,47,7.3,8.8,1.36,7.69,4.28,999,9999,4.4,5.4,-1.7,99,99
2010-12-06 11:50:00,40,6.5,7.6,1.24,7.69,4.34,999,9999,4.5,5.3,-2.2,99,99
2010-12-06 12:50:00,10,4.7,6,1.11,7.14,4.22,999,9999,4.2,5.3,-2.9,99,99
2010-12-06 13:50:00,347,2.7,3.3,1.11,7.14,4.49,999,9999,4,5.4,-1,99,99
2010-12-06 14:50:00,356,2.9,4.4,1.11,6.67,4.46,999,9999,4.1,5.5,-2.3,99,99
2010-12-06 15:50:00,37,7,8.2,1.14,6.25,3.9,999,9999,5.1,5.8,-2.7,99,99
2010-12-06 16:50:00,355,3.3,4,0.97,7.14,4.39,999,9999,4.5,5.8,-2.8,99,99
2010-12-06 17:50:00,326,2.6,3.5,1.05,6.67,4.47,999,9999,4.2,6,-1.4,99,99
2010-12-06 18:50:00,305,2.9,3.6,1.07,6.67,4.55,999,9999,3.7,6,-0.6,99,99
2010-12-06 19:50:00,300,2.4,2.9,1.15,4.17,4.43,999,9999,3.4,6,-0.3,99,99
2010-12-06 20:50:00,57,7.8,9.1,1.61,6.67,4.61,999,9999,4.1,5.8,-3.3,99,99
2010-12-06 21:50:00,42,8.5,10.1,99,99,99,999,9999,4.2,5.8,-3,99,99
2010-12-06 22:50:00,54,10.3,12.2,2.08,6.25,4.69,999,9999,3.8,5.8,-2.9,99,99
2010-12-06 23:50:00,40,8.6,10.3,99,99,99,999,9999,4.6,5.9,-2.6,99,99
2010-12-07 00:50:00,52,11.8,14.1,2.23,5.88,4.73,999,9999,4.1,5.9,-1.7,99,99
2010-12-07 01:50:00,50,12.1,14.5,99,99,99,999,9999,3.7,5.9,-1.8,99,99
2010-12-07 02:50:00,42,9.3,11.4,99,99,99,999,9999,4.4,6,-3.7,99,99
2010-12-07 03:50:00,66,11.7,14.3,99,99,99,999,9999,3.2,5.9,-0.1,99,99
2010-12-07 04:50:00,61,10.6,12.3,2.25,6.67,4.84,999,9999,2.7,5.9,0.9,99,99
2010-12-07 05:50:00,64,10.8,12.7,2.18,6.25,4.78,999,9999,3,5.8,1,99,99
2010-12-07 06:50:00,60,8.4,10,2,6.25,4.71,999,9999,3.2,6.2,0.3,99,99
